8436	161	5744	3231
8301	80	5914	2965
5559	126	9755	2020
9071	161	4596	1535
10338	21	2985	2510
7292	197	1417	3104
9818	162	2182	3741
2679	126	1444	3959
923	32	2292	1033
4164	45	7481	187
2985	135	5345	2069
5590	124	7143	1973
4542	161	3851	1858
7292	161	417	3475
7688	161	4366	509
2781	228	8033	425
3605	114	1417	3863
9131	72	4677	1015
8023	130	7904	303
9514	161	4164	2387
8952	161	7481	50
4164	186	4332	1234
2992	162	5744	3890
7336	195	4007	2313
1228	162	4660	1
7292	161	4573	944
1276	173	1417	3495
7809	161	6240	3495
4164	228	8041	2604
4786	161	5960	66
3457	9	7461	92
10300	173	3176	3369
8193	228	1792	2749
4049	80	8782	3037
7925	161	6680	3869
2411	98	3578	1460
2915	168	3099	1294
1199	161	7481	208
1422	135	5156	2504
7544	21	6215	3344
6269	235	7117	1227
5220	162	4900	533
9614	5	5644	1763
7679	80	4705	997
9264	54	3412	1151
1890	114	2731	2529
7144	174	2985	3790
1892	195	5400	1843
3676	126	4406	2743
1892	80	7481	1752
8086	161	5083	432
2899	162	5429	3411
7292	54	417	3537
2290	9	7461	92
2290	150	4164	3958
4660	162	7805	2948
9886	161	7774	2069
6729	126	6435	1221
2570	161	6337	299
285	173	3235	2003
1711	228	3609	2589
8943	72	4164	721
5220	173	4900	2669
5083	228	4900	1888
7280	161	7144	3973
9477	130	8193	3997
2899	135	2182	2130
3789	126	8678	2515
4164	81	8943	2690
3005	118	1417	3408
6209	80	280	3831
3789	161	7144	1726
7738	81	4900	2100
6712	80	6336	1759
4823	150	4164	3977
5535	72	10204	2120
9387	54	4978	3400
6345	135	5581	1517
7481	45	4406	3741
1892	162	7738	2999
4941	114	4586	80
7185	161	5708	1371
6260	204	5703	218
1892	126	4164	1744
7292	161	417	3696
2811	162	10021	1009
4164	81	8943	2688
6104	161	417	3623
2329	129	9912	898
1228	228	791	1643
9153	195	6179	2448
8331	195	1417	3334
6494	126	8615	377
2541	223	3738	10
2781	228	8033	1943
9590	225	3738	3539
1872	73	7481	2582
2899	54	4164	3939
2328	162	2306	1105
3068	162	9971	3656
7548	197	1474	3118
9173	168	4164	3187
2899	223	4705	1690
8975	168	1864	736
2107	223	5013	245
6754	89	8975	3572
8077	126	2312	1509
4705	114	4823	1301
9556	232	4031	3743
3099	126	2781	2134
10444	162	4164	647
7144	66	401	1790
8943	81	7481	3732
2390	21	7144	280
10365	162	510	1119
2632	161	8311	3901
7481	173	4164	108
4560	81	3789	1285
1199	161	5549	2016
6062	161	4700	2606
3360	72	7805	948
6336	212	4245	2615
9736	72	1444	1850
9979	168	6336	2676
1873	150	3457	3477
1055	192	1615	2987
4332	5	1443	2724
4406	72	9669	653
5083	15	5644	3454
10412	49	2570	373
2592	195	3176	3015
